TYPE	FILE	LOCATOR	BEFORE_SNIPPET	PROPOSED_CHANGE	RATIONALE	STATUS
TRACE	ml_model_selection_analysis.ipynb	cell[7] (markdown)	### Kfold Cross validation:    ### <span style="color:red"> Task 1: Implement a K-Fold cross-validat	Remove Task X prefix, reframe professionally	Assignment trace - Task numbering	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[7] (markdown)	### Kfold Cross validation:    ### <span style="color:red"> Task 1: Implement a K-Fold cross-validat	Remove Lecture reference	Assignment trace - Course lecture reference	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[7] (markdown)	### Kfold Cross validation:    ### <span style="color:red"> Task 1: Implement a K-Fold cross-validat	Remove TODO comment	Assignment trace - TODO placeholder	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[9] (code)	import numpy as np from sklearn.metrics import accuracy_score, f1_score  def kfold_cross_validation(	Remove TODO comment	Assignment trace - TODO placeholder	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[10] (markdown)	### Model Fitting   ### <span style="color:red">Task 2:  Fit 3 different models on your training dat	Remove Task X prefix, reframe professionally	Assignment trace - Task numbering	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[10] (markdown)	### Model Fitting   ### <span style="color:red">Task 2:  Fit 3 different models on your training dat	Remove TODO comment	Assignment trace - TODO placeholder	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[11] (code)	from sklearn.linear_model import LogisticRegression from sklearn.discriminant_analysis import Linear	Remove TODO comment	Assignment trace - TODO placeholder	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[12] (markdown)	### Evaluating Model Performance with Varying K  ### <span style="color:red">Task 2.1: Write a for l	Remove Task X prefix, reframe professionally	Assignment trace - Task numbering	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[12] (markdown)	### Evaluating Model Performance with Varying K  ### <span style="color:red">Task 2.1: Write a for l	Remove TODO comment	Assignment trace - TODO placeholder	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[13] (code)	# Define the range of k values k_values = [5, 10, 15, 20, 25, 30]  # TODO:Initialize lists to store 	Remove TODO comment	Assignment trace - TODO placeholder	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[15] (markdown)	  ###  <span style="color:red">Task 3: Looking at the generated plots of the decision boundaries for	Remove Task X prefix, reframe professionally	Assignment trace - Task numbering	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[22] (markdown)	### Lasso & Ridge Regression    ### <span style="color:red">Task 4: Fill in the missing parts of the	Remove Task X prefix, reframe professionally	Assignment trace - Task numbering	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[24] (code)	import numpy as np import matplotlib.pyplot as plt from sklearn.linear_model import Ridge, Lasso fro	Remove TODO comment	Assignment trace - TODO placeholder	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[25] (markdown)	  ###  <span style="color:red">Task 5: Complete the code parts with TODOs and answer based on the ou	Remove Task X prefix, reframe professionally	Assignment trace - Task numbering	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[25] (markdown)	  ###  <span style="color:red">Task 5: Complete the code parts with TODOs and answer based on the ou	Remove TODO comment	Assignment trace - TODO placeholder	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[27] (code)	from sklearn.metrics import mean_squared_error  # TODO: Fit Ridge Regression on train data with opti	Remove TODO comment	Assignment trace - TODO placeholder	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[31] (markdown)	### Exploring Degrees Polynomial Regression    ###  <span style="color:red">Task 6: Fit polynomial r	Remove Task X prefix, reframe professionally	Assignment trace - Task numbering	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[31] (markdown)	### Exploring Degrees Polynomial Regression    ###  <span style="color:red">Task 6: Fit polynomial r	Remove TODO comment	Assignment trace - TODO placeholder	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[32] (code)	import matplotlib.pyplot as plt from sklearn.preprocessing import PolynomialFeatures from sklearn.li	Remove TODO comment	Assignment trace - TODO placeholder	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[33] (markdown)	### Exploring Degrees and Knots on Spline Regression  ###  <span style="color:red">Task 7: Experimen	Remove Task X prefix, reframe professionally	Assignment trace - Task numbering	NOT_APPLIED
TRACE	ml_model_selection_analysis.ipynb	cell[34] (code)	from sklearn.preprocessing import SplineTransformer from sklearn.pipeline import make_pipeline  plt.	Remove TODO comment	Assignment trace - TODO placeholder	NOT_APPLIED
PATH	README.md	line 33	Submission_14_-_7068679_Ramin_Yazdani/	Remove or update to current directory structure	References non-existent submission folder	NOT_APPLIED
PATH	README.md	line 56	cd Submission_14_-_7068679_Ramin_Yazdani	Remove or update to current directory structure	References non-existent submission folder	NOT_APPLIED
